"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Entrez"
"ENSG00000177426"	"ENSG00000177426"	"TGIF1"	961,872669647312	-1,303321480313	0,136278029567157	-7,21555399235076	5,37148421489539e-13	5,58306328778745e-11	"7050"
"ENSG00000128591"	"ENSG00000128591"	"FLNC"	315,206555032312	1,9822339547676	0,231908270247356	7,16763551810654	7,63041222592908e-13	7,81170623069552e-11	"2318"
"ENSG00000136997"	"ENSG00000136997"	"MYC"	2441,10825410888	-1,19957264296664	0,122698932722849	-7,16854355166572	7,57998209383445e-13	7,81170623069552e-11	"4609"
"ENSG00000072571"	"ENSG00000072571"	"HMMR"	845,592312595144	-1,45505002841504	0,158924033127576	-7,14209176596901	9,19211946380835e-13	9,34029094173242e-11	"3161"
"ENSG00000196924"	"ENSG00000196924"	"FLNA"	79698,7513477515	1,33959833075182	0,143129210177874	7,12362158279722	1,05127429887384e-12	1,06030747062713e-10	"2316"
"ENSG00000136514"	"ENSG00000136514"	"RTP4"	125,547990010517	-2,44100739479971	0,299682414251748	-7,07751704448683	1,46760147173397e-12	1,46932806170071e-10	"64108"
"ENSG00000187678"	"ENSG00000187678"	"SPRY4"	728,247059687331	1,72637964536129	0,199017257884807	7,06662155990166	1,58751111990363e-12	1,57777747508086e-10	"81848"
"ENSG00000145147"	"ENSG00000145147"	"SLIT2"	1395,79365991894	1,69637448082348	0,19486145954313	7,06334892518261	1,62536898435148e-12	1,60369739789346e-10	"9353"
"ENSG00000162645"	"ENSG00000162645"	"GBP2"	669,75358298829	-1,54343215183636	0,173375131322703	-7,0565607795226	1,70674007714673e-12	1,67186855326834e-10	"2634"
"ENSG00000100342"	"ENSG00000100342"	"APOL1"	3698,0388257953	-1,3609359602191	0,147770283158729	-7,04428480455009	1,86416503941546e-12	1,81303365547721e-10	"8542"
"ENSG00000151287"	"ENSG00000151287"	"TEX30"	310,9264326669	1,66417071983165	0,191524511271605	7,01826993791647	2,24632249009814e-12	2,16921468263662e-10	"93081"
"ENSG00000111859"	"ENSG00000111859"	"NEDD9"	312,711838413757	-1,68582513133851	0,194897695350247	-7,00790806624989	2,41907664569004e-12	2,31958785969828e-10	"4739"
"ENSG00000110660"	"ENSG00000110660"	"SLC35F2"	899,897656462273	1,31056961445149	0,141574044329301	6,99683066302345	2,6181740682752e-12	2,49294112682763e-10	"54733"
"ENSG00000144645"	"ENSG00000144645"	"OSBPL10"	522,78574958187	1,42037474104081	0,157381605500075	6,9917620775592	2,71454956425003e-12	2,56675742130753e-10	"114884"
"ENSG00000179583"	"ENSG00000179583"	"CIITA"	43,8807948361658	-5,40094145880139	0,728190965879258	-6,9774848863531	3,00511134589769e-12	2,8219031783271e-10	"4261"
"ENSG00000073578"	"ENSG00000073578"	"SDHA"	11431,8133395666	1,04240875553407	0,103698955232173	6,96640341184399	3,25145942319501e-12	3,03231996617968e-10	"6389"
"ENSG00000070731"	"ENSG00000070731"	"ST6GALNAC2"	477,824827946487	-1,50905399905483	0,170753384925359	-6,96357498022426	3,31744463873223e-12	3,07281130618898e-10	"10610"
"ENSG00000035141"	"ENSG00000035141"	"FAM136A"	1189,263749266	1,26094264906439	0,135281855656375	6,95542387779225	3,51503541587634e-12	3,23383258260623e-10	"84908"
"ENSG00000139629"	"ENSG00000139629"	"GALNT6"	271,146280147396	1,68346872005243	0,196633175858821	6,93407261565757	4,0889459088792e-12	3,73658305337578e-10	"11226"
"ENSG00000167165"	"ENSG00000167165"	"UGT1A6"	603,75966920134	-1,50139583122965	0,171671167081901	-6,88173705177892	5,91270801889439e-12	5,36716215901774e-10	"54578"
"ENSG00000183963"	"ENSG00000183963"	"SMTN"	1131,26895635905	1,76571568838629	0,210394183262895	6,87146225226111	6,35471082289635e-12	5,73018162679183e-10	"6525"
"ENSG00000026950"	"ENSG00000026950"	"BTN3A1"	416,759990172554	-1,56889313660548	0,182681539953548	-6,83644957735221	8,11799126208821e-12	7,27201112003902e-10	"11119"
"ENSG00000176046"	"ENSG00000176046"	"NUPR1"	478,873067703533	-1,99925287269869	0,245697756049041	-6,83462844635631	8,22178410576613e-12	7,31685048262167e-10	"26471"
